id,date,year,title,participants,participant_ids,map_pairs,type,scope,stages,status,implementation,funding,detail,source_url,last_verified
north-america-2023,2023-05-24,2023,North American Semiconductor Conference and ministerial cooperation,Canada; United States; Mexico,can;usa,can-usa,ecosystem,semiconductor-specific,research;workforce;fabrication;packaging,operational,"The three governments committed to biannual official dialogues and cooperation with industry and academia on R&D, workforce, manufacturing, and packaging.",Not specified,"A trilateral framework for research, workforce, investment, manufacturing, and packaging cooperation.",https://www.canada.ca/en/innovation-science-economic-development/news/2023/05/trilateral-statement-launch-of-the-north-american-semiconductor-conference-and-north-american-ministerial-committee-on-economic-competitiveness.html,2026-07-31
jpn-are-2023,2023-07-17,2023,Japan–UAE Semiconductor and Battery Cooperation,Japan; United Arab Emirates,jpn;are,jpn-are,investment,broader-framework,investment;fabrication;supply_chain,signed,The consultation framework was created to identify semiconductor projects and facilitate UAE investment in Japan.,Not specified,A consultation framework for semiconductor projects and investment alongside battery cooperation.,https://www.meti.go.jp/english/press/2023/0724_001.html,2026-07-31
ind-sgp-2024,2024-09-05,2024,India–Singapore Semiconductor Ecosystem Partnership,India; Singapore,ind;sgp,ind-sgp,ecosystem,semiconductor-specific,packaging;supply_chain;workforce;research,signed,"The memorandum links Singapore firms and supply chains with India’s semiconductor ecosystem and supports policy exchange, workforce, and business cooperation.",Not specified,"An ecosystem partnership connecting firms, supply chains, workforce development, and policy exchange.",https://www.mti.gov.sg/newsroom/singapore-and-india-sign-memorandum-of-understanding-on-india-singapore-semiconductor-ecosystem-partnership/,2026-07-31
ipef-2024,2024-02-24,2024,IPEF Supply Chain Agreement,Australia; India; Japan; South Korea; Malaysia; Singapore; Vietnam; United States,aus;ind;jpn;kor;mys;sgp;vnm;usa,usa-aus;usa-ind;usa-jpn;usa-kor;usa-mys;usa-sgp;usa-vnm,resilience,broader-framework,supply_chain,operational,"The agreement entered into force in February 2024 and established a Supply Chain Council, Crisis Response Network, and labor-rights advisory body.",Not specified,A multilateral supply-chain resilience framework that can cover semiconductor disruptions but is not limited to semiconductors.,https://www.commerce.gov/news/press-releases/2024/01/us-department-commerce-announces-upcoming-entry-force-ipef-supply-chain,2026-07-31
usa-jpn-jucip-2024,2024-04-10,2024,Japan–U.S. Commercial and Industrial Partnership semiconductor cooperation,Japan; United States,jpn;usa,jpn-usa,resilience,broader-framework,supply_chain;fabrication;trusted_network,implementation,"Ministers committed to accelerate cooperation on mature-node semiconductors, resilient supply chains, and export controls.",Not specified,"Ministerial implementation cooperation on semiconductor supply chains, legacy chips, and technology protection.",https://www.meti.go.jp/english/press/2024/0411_001.html,2026-07-31
can-gbr-2025,2025-07-03,2025,Canada–UK compound-semiconductor supply-chain partnership,Canada; United Kingdom,can;gbr,can-gbr,research,semiconductor-specific,research;fabrication;packaging,signed,"The NRC, CSA Catapult, and C2MI signed a memorandum to deepen collaboration in compound semiconductors and photonics.",Not specified,"Institutional cooperation on compound-semiconductor photonics, commercialization, and resilient G7 supply chains.",https://www.canada.ca/en/national-research-council/news/2025/07/canada-and-uk-partner-to-build-a-stronger-semiconductor-supply-chain.html,2026-07-31
pax-silica-2025,2025-12-12,2025,Pax Silica Declaration,Australia; Israel; Japan; South Korea; Singapore; United Kingdom; United States,aus;isr;jpn;kor;sgp;gbr;usa,usa-aus;usa-isr;usa-jpn;usa-kor;usa-sgp;usa-gbr,trusted_network,broader-framework,compute;semiconductors;advanced_manufacturing;materials;infrastructure,signed,"The declaration sets out cooperation on trusted technology supply chains, investment security, infrastructure, incentives, semiconductors, compute, and critical inputs.",Not specified,"A broad trusted-technology framework with explicit semiconductor, compute, advanced-manufacturing, and critical-mineral components.",https://www.industry.gov.au/publications/pax-silica-declaration-countries-attending-pax-silica-summit-12-december-2025,2026-07-31
ind-nld-2026,2026-05-16,2026,India–Netherlands Partnership on Semiconductors and Emerging Technology,India; Netherlands,ind;nld,ind-nld,ecosystem,semiconductor-specific,research;workforce;investment;design,implementation,"The partnership connects competence centers, universities, institutes, and firms for research, talent, investment, and industry collaboration.",Not specified,"Cooperation linking the Dutch semiconductor ecosystem with India’s mission, universities, and industry.",https://www.government.nl/documents/2026/05/16/joint-statement-by-india-and-the-netherlands,2026-07-31
isr-chips-ju-2026,2026-03-26,2026,Joint Israel–Chips Joint Undertaking semiconductor R&D programs,Israel; European Chips Joint Undertaking participants,isr;eun,isr-eun,research,semiconductor-specific,research;design;fabrication,funded,A 2026 call invited Israeli firms and researchers to participate in multinational semiconductor R&D programs under the Chips Joint Undertaking.,Program funding varies by call,International R&D cooperation for semiconductor technologies through the European Chips Joint Undertaking.,https://innovationisrael.org.il/en/calls_for_proposal/chips-ju-2026/,2026-07-31
can-deu-2026,2026-06-30,2026,Canada–Germany semiconductor industrial cooperation,Canada; Germany,can;eun,can-eun,ecosystem,semiconductor-specific,investment;research;supply_chain,signed,"A joint declaration created a framework for policy dialogue and cooperation on investment, industrial development, technology, research, start-ups, and supply chains.",Not specified,"A bilateral framework for resilient semiconductor supply chains, investment, industrial development, and research.",https://www.canada.ca/en/innovation-science-economic-development/news/2026/06/canada-and-germany-strengthen-industrial-partnership-to-build-resilient-semiconductor-supply-chains.html,2026-07-31
aciti-2026,2026-07-10,2026,Australia–Canada–India Technology and Innovation Partnership,Australia; Canada; India,aus;can;ind,aus-can;aus-ind;can-ind,research,broader-framework,semiconductors;research;workforce;compute,signed,"The memorandum established a joint working group on AI and emerging technologies, with semiconductors among the covered fields.",Not specified,A broader emerging-technology partnership that explicitly includes semiconductors.,https://www.industry.gov.au/publications/overview-memorandum-understanding-support-australia-canada-india-technology-and-innovation-aciti-partnership,2026-07-31
